Pconsent_self,gender,bday,bday#1_1,bday#2_1,bday#3_1,race_2,race_3,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp.x,gc.x,term.x,Q_BallotBoxStuffing.x,Q_CHL.x,expected_ir.x,expected_loi.x,Country.x,expected_n.x,tg.x,transaction_id,SVID.x,PS.x,Child_age,Response,P_age,Cconsent,age,days,Ctime,genre,genre_8_TEXT,shorts_days,shorts_time,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily_appear_1,homophily_appear_2,homophily_appear_3,homophily_appear_4,homophily_appear_5,homophily_behave_1,homophily_behave_2,homophily_behave_3,homophily_behave_4,homophily_behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup_freq,outgroup_simple,regularities_1,regularities_2,regularities_3,regularities_4,regularities_5,regularities_6,regularities_7,friend,opp.y,gc.y,term.y,Q_BallotBoxStuffing.y,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL.y,expected_ir.y,expected_loi.y,Country.y,expected_n.y,tg.y,SVID.y,PS.y,age_match,difference,large_diff,Ptime_score,Ptime_max,Ptime_max_score,malleable_score,h_appear_score,h_behave_score,parasocial_score,composite,regularity_score,friend_gender,friend_race,race_1,race_match,race_match_binary,gender_match
Agree,Female,2016-04-14,April,14,2016,NA,NA,"Bachelor's degree (e.g. BA, BS)",High school degree or equivalent,"$25,000 through $34,999",Dillon,South Carolina,Yes,Android tablet,Yes,No,No,NA,7,7,NA,Lanky box,She is fully focused on whatever she is watching,A lot,A great deal,A great deal,A lot,A great deal,Some content contains bad language and violent tendencies,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,6NKdAerDDwrncVLvE93yRS,36661704,1449,NA,Complete,8,YES,8,7 days,More than 2 hours,Gaming/Let's Play,NA,4 days,1 hour or less,4,5,3,4,Lanky box,4,5,4,5,5,4,4,5,4,5,4,3,5,4,4,Sometimes,More people who DO NOT have the same skin color as me,4,4,1,3,2,5,2,8,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,49,3,21,0.8,0.92,0.88,0.8,0.8666666666666667,0.6,Female,South Asian,Black or African American,0,0,1
Agree,Male,2012-08-10,August,10,2012,NA,NA,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Saint Paul,Mn,Yes,iPhone,No,NA,No,NA,7,3,NA,Not sure,Nothing,None at all,None at all,None at all,A lot,A moderate amount,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7e0H30JRqW8AlwRbhU5n4O,36661704,1449,NA,Complete,12,YES,12,7 days,30 minutes or less,Sports,NA,7 days,30 minutes or less,2,2,2,2,Mr Beast,2,2,4,2,2,3,2,2,3,4,3,4,4,4,2,Rarely,More people who DO have the same skin color as me,2,2,2,2,3,3,3,5,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,21,0.75,5.25,0.4,0.48,0.56,0.68,0.5733333333333334,0.4857142857142857,Male,South Asian,White,0,0,1
Agree,Male,2011-01-13,January,13,2011,NA,NA,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Middletown,DE,Yes,iPhone,Yes,No,No,NA,4,4,NA,"Drive Tribe (Clarkson, Hammond, May)",No difference in behavior.,A lot,A lot,A moderate amount,A lot,A moderate amount,No I have not experienced this.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,58hKV9oZw6e7SKQQ6gQ1eF,36661704,1449,NA,Complete,14,YES,14,4 days,1 hour or less,Other,NA,Never,NA,4,4,4,4,Richard Hammond,4,4,5,2,4,4,2,1,3,3,4,4,3,4,2,Sometimes,More people who DO have the same skin color as me,2,2,3,3,4,3,4,9,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,16,1,4,0.8,0.76,0.52,0.68,0.6533333333333333,0.6,Male,White,White,1,1,1
Agree,Male,2011-12-02,December,2,2011,NA,NA,High school degree or equivalent,High school degree or equivalent,"$16,000 through $24,999",Marshallville,Oh,Yes,Android phone,No,NA,No,NA,2,6,NA,Chad wild clay,Nothing,A lot,A great deal,A lot,A lot,A lot,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,1hB4NI75ntC6twqP67vM6U,36661704,1449,NA,Complete,13,YES,13,2 days,NA,NA,NA,NA,NA,5,5,2,4,Chad wild clay,2,2,4,4,2,4,4,4,4,4,5,5,5,5,5,Sometimes,I don't know,1,1,1,1,2,3,2,3,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,12,2,4,0.8,0.56,0.8,1,0.7866666666666666,0.3142857142857143,Male,Hispanic or Latino/a,White,0,0,1
Agree,Female,2016-09-20,September,20,2016,NA,NA,Some college,Some college,"$50,000 through $74,999",LANCASTER,CA,No,Some other device,No,No,No,NA,7,6,NA,nico and cash,He picks up on the vocabulary and uses it.,A little,A moderate amount,A lot,A lot,A moderate amount,None that i have encountered.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2bHqkThnwUAxLocur3zgdf,36661704,1449,NA,Complete,8,YES,8,7 days,2 hours or less,Gaming/Let's Play,NA,7 days,2 hours or less,3,3,3,3,Nico and Cash,1,2,3,4,5,5,4,3,2,3,5,4,3,5,4,Very often,I don't know,3,2,1,1,1,3,3,3,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,42,2,14,0.6,0.6,0.68,0.84,0.7066666666666667,0.4,Male,Hispanic or Latino/a,Hispanic or Latino/a,1,1,0
Agree,Male,2015-09-02,September,2,2015,NA,NA,Some college,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Otsego,MN,No,Some other device,No,No,No,NA,2,3,NA,Minecraft,Throws fits after,None at all,A little,None at all,A lot,None at all,none,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2iot9jFptk0bhYxOCauk8v,36661704,1449,NA,Complete,9,YES,9,4 days,30 minutes or less,Gaming/Let's Play,NA,3 days,30 minutes or less,1,2,1,1,Dudeperfect,1,1,3,2,2,3,4,3,2,4,4,3,2,2,4,Sometimes,I don't know,1,1,3,2,2,3,3,3,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,6,0.75,1.5,0.25,0.36,0.64,0.6,0.5333333333333333,0.42857142857142855,Male,Hispanic or Latino/a,White,0,0,1
Agree,Male,2015-02-13,February,13,2015,NA,NA,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater","Grand Rapids, MI",Michigan,No,iPad tablet,No,Yes,Yes,"Language, violence",7,6,NA,Ryan’s world,No concerns,A lot,A lot,A lot,A lot,A moderate amount,No concerns,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,6ScA9gOKPFO2O0Gp5BXHJl,36661704,1449,NA,Complete,10,YES,10,7 days,More than 2 hours,Educational,NA,Never,NA,2,4,2,4,Ryan,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,Often,I don't know,2,2,2,2,2,4,2,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,42,2,14,0.6,0.4,0.72,0.8,0.64,0.45714285714285713,Female,White,White,1,1,0
Agree,Female,2011-05-21,May,21,2011,NA,NA,Some college,Some college,"$50,000 through $74,999",Evansville,IN,Yes,Android phone,Yes,Yes,Yes,"time limit, and certain content",7,5,NA,she just looks at different things she does not follow any one.,she acts the same as always after being on you tube,A lot,A great deal,A moderate amount,A lot,A moderate amount,my child only goes on sites that are age apropriat,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7EHj0Umz76XUQQspk74Kpr,36661704,1449,NA,Complete,13,YES,13,7 days,1.5 hours or less,Makeup/Fashion,NA,7 days,1.5 hours or less,1,1,1,1,I dont have one,4,3,3,4,2,3,2,3,3,5,4,4,4,4,3,Often,I don't know,1,1,1,2,3,3,3,3,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,35,1.5,10.5,0.2,0.64,0.64,0.76,0.68,0.4,Male,Hispanic or Latino/a,White,0,0,0
Agree,Female,2015-04-15,April,15,2015,NA,NA,Some college,Some college,"Less than $5,000",Phoenix,AZ,No,iPad tablet,No,NA,Yes,Parental control,7,7,NA,YouTube Kids,My child is not focused on other tasks,A lot,A moderate amount,A moderate amount,A lot,A little,I have not experienced any inappropriate contents when my child is using YouTube,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2acD8apXePBR93WRiPu7ck,36661704,1449,NA,Complete,9,YES,10,7 days,2 hours or less,Gaming/Let's Play,NA,7 days,45 minutes or less,2,2,1,2,Mr. Beast,2,2,2,2,2,3,4,4,2,5,4,4,4,5,3,Often,More people who DO NOT have the same skin color as me,4,3,1,5,2,3,1,6,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,FALSE,1,FALSE,49,3,21,0.35,0.4,0.72,0.8,0.64,0.5428571428571428,Female,Hispanic or Latino/a,Asian,0,0,1
Agree,Male,2016-01-27,January,27,2016,NA,NA,NA,High school degree or equivalent,"$12,000 through $15,999",Lakeport,California,Yes,Android phone,Yes,No,No,NA,7,5,NA,I don't know,he gets loud and acts funny sometimes,A little,A little,None at all,A lot,A little,I don't remember the channel but my son was listing to some serious cussing on youtube,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,4gOHw4WbuI1hYyL3FvkmqG,36661704,1449,NA,Complete,9,YES,9,7 days,45 minutes or less,NA,NA,7 days,1 hour or less,3,4,3,4,mrbazookaa,2,3,2,3,2,3,2,2,3,3,4,3,4,3,4,Often,More people who DO NOT have the same skin color as me,3,4,3,4,3,4,3,3,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,35,1.5,10.5,0.7,0.48,0.52,0.72,0.5733333333333334,0.6857142857142857,Male,Hispanic or Latino/a,American Indian or Alaska Native,2,0,1
Agree,Female,2012-08-06,August,6,2012,NA,NA,High school degree or equivalent,High school degree or equivalent,"$35,000 through $49,999",Philadelphia,PA,Yes,iPad tablet,No,No,No,NA,6,6,NA,I don't know,She mostly uses Youtube for listening to music so her behavior is pretty chill,A little,A moderate amount,A little,A lot,A lot,I can't think of anything that was particularly disturbing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,5ao53LYvz8nAQ9eEHVSHzz,36661704,1449,NA,Complete,12,YES,12,5 days,2 hours or less,Gaming/Let's Play,NA,2 days,15 minutes or less,2,3,4,2,I don't have one,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Often,I don't know,2,1,2,3,2,4,3,8,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,36,2,12,0.55,0.6,0.6,0.6,0.6,0.4857142857142857,Female,South Asian,Black or African American,0,0,1
Agree,Male,2012-12-18,December,18,2012,White,NA,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$35,000 through $49,999",Chesterton,Indiana,Yes,iPhone,No,No,No,NA,5,5,NA,Spy Ninja,Sometimes she becomes to engrossed in it.,A moderate amount,A little,A lot,A lot,A moderate amount,"Honestly, I have not experienced this but I look to get informed and entertained on YouTube not offended.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2kfgzB0CVLnKtdq5WYTRdU,36661704,1449,NA,Complete,12,YES,12,5 days,1.5 hours or less,Compilations,NA,4 days,30 minutes or less,2,2,2,2,Jojo siwa,3,4,4,4,3,2,4,3,4,4,2,4,4,3,4,Sometimes,More people who DO NOT have the same skin color as me,4,3,2,4,2,4,3,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,25,1.5,7.5,0.4,0.72,0.68,0.68,0.6933333333333334,0.6285714285714286,Female,White,Asian,0,0,0
